_id,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Suppressed
647f327c1dce3c155c92f5e8,BDCQ.SEA1AT,2018.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5e9,BDCQ.SEA1AT,2018.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5ea,BDCQ.SEA1AT,2018.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5eb,BDCQ.SEA1AT,2019.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5ec,BDCQ.SEA1AT,2019.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5ed,BDCQ.SEA1AT,2019.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5ee,BDCQ.SEA1AT,2019.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5ef,BDCQ.SEA1AT,2020.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f0,BDCQ.SEA1AT,2020.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f1,BDCQ.SEA1AT,2020.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f2,BDCQ.SEA1AT,2020.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f3,BDCQ.SEA1AT,2021.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f4,BDCQ.SEA1AT,2021.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f5,BDCQ.SEA1AT,2021.09,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f6,BDCQ.SEA1AT,2021.12,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f7,BDCQ.SEA1AT,2022.03,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
647f327c1dce3c155c92f5f8,BDCQ.SEA1AT,2022.06,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Trend,
